user_played, instrument_name, velocity, pitch, start (s), end (s)
False,piano,80,69,30.000054,30.211808112499998
True,piano,80,50,30.000054,30.849868962499997
True,piano,80,54,30.000054,30.849868962499997
True,piano,80,57,30.000054,30.849868962499997
False,piano,80,71,30.223934999999997,30.4356891125
False,piano,80,73,30.671696999999998,30.883451112499998
False,piano,80,73,30.895577999999997,31.1073321125
True,piano,80,50,30.895577999999997,31.7453929625
True,piano,80,54,30.895577999999997,31.7453929625
True,piano,80,57,30.895577999999997,31.7453929625
False,piano,80,73,31.119459,31.3312131125
False,piano,80,66,31.343339999999998,31.555094112499997
False,piano,80,66,31.567221,31.7789751125
False,piano,80,69,31.791102,32.0028561125
True,piano,80,50,31.791102,32.2155430625
True,piano,80,54,31.791102,32.2155430625
True,piano,80,57,31.791102,32.2155430625
False,piano,80,71,32.014983,32.2267371125
True,piano,80,37,32.238864,32.6633050625
True,piano,80,49,32.238864,32.6633050625
False,piano,80,73,32.462745,32.6744991125
False,piano,80,73,32.686626,32.8983801125
True,piano,80,49,32.686626,33.536440962499995
True,piano,80,52,32.686626,33.536440962499995
True,piano,80,56,32.686626,33.536440962499995
False,piano,80,73,32.910506999999996,33.1222611125
False,piano,80,66,33.134388,33.3461421125
False,piano,80,66,33.358269,33.570023112499996
False,piano,80,69,33.58215,33.7939041125
True,piano,80,49,33.58215,34.0065910625
True,piano,80,52,33.58215,34.0065910625
True,piano,80,56,33.58215,34.0065910625
False,piano,80,71,33.806031,34.0177851125
True,piano,80,42,34.029911999999996,34.4543530625
True,piano,80,54,34.029911999999996,34.4543530625
False,piano,80,73,34.253793,34.4655471125
False,piano,80,73,34.477674,34.689428112499996
True,piano,80,49,34.477674,35.3274889625
True,piano,80,54,34.477674,35.3274889625
True,piano,80,57,34.477674,35.3274889625
False,piano,80,73,34.701555,34.913309112499995
False,piano,80,73,34.925436,35.1371901125
False,piano,80,73,35.149316999999996,35.3610711125
False,piano,80,74,35.373197999999995,35.5849521125
True,piano,80,49,35.373197999999995,35.7976390625
True,piano,80,54,35.373197999999995,35.7976390625
True,piano,80,57,35.373197999999995,35.7976390625
False,piano,80,73,35.597079,35.8088331125
False,piano,80,71,35.82096,36.4580880125
True,piano,80,38,35.82096,36.2454010625
True,piano,80,50,35.82096,36.2454010625
True,piano,80,50,36.268722,37.118536962499995
True,piano,80,54,36.268722,37.118536962499995
True,piano,80,59,36.268722,37.118536962499995
False,piano,80,69,36.492602999999995,37.129731012499995
False,piano,80,74,37.164246,37.3760001125
True,piano,80,50,37.164246,37.5886870625
True,piano,80,54,37.164246,37.5886870625
True,piano,80,59,37.164246,37.5886870625
False,piano,80,73,37.388127,37.5998811125
False,piano,80,71,37.612007999999996,38.249136012499996
True,piano,80,40,37.612007999999996,38.0364490625
True,piano,80,52,37.612007999999996,38.0364490625
True,piano,80,52,38.05977,38.9095849625
True,piano,80,56,38.05977,38.9095849625
True,piano,80,59,38.05977,38.9095849625
False,piano,80,69,38.283651,38.9207790125
False,piano,80,74,38.955293999999995,39.1670481125
True,piano,80,52,38.955293999999995,39.379735062499996
True,piano,80,56,38.955293999999995,39.379735062499996
True,piano,80,59,38.955293999999995,39.379735062499996
False,piano,80,73,39.179175,39.3909291125
False,piano,80,71,39.403056,39.8274970625
True,piano,80,37,39.403056,39.8274970625
True,piano,80,49,39.403056,39.8274970625
False,piano,80,73,39.850818,40.0625721125
True,piano,80,49,39.850818,40.700632962499995
True,piano,80,52,39.850818,40.700632962499995
True,piano,80,57,39.850818,40.700632962499995
False,piano,80,71,40.074698999999995,40.711827012499995
False,piano,80,73,40.746342,40.9580961125
True,piano,80,49,40.746342,41.5961569625
True,piano,80,52,40.746342,41.5961569625
True,piano,80,57,40.746342,41.5961569625
False,piano,80,71,40.970223,41.1819771125
False,piano,80,69,41.194103999999996,42.894666762499995
True,piano,80,49,41.641866,42.4916809625
True,piano,80,52,41.641866,42.4916809625
True,piano,80,57,41.641866,42.4916809625
True,piano,80,49,42.537389999999995,42.961831062499996
True,piano,80,52,42.537389999999995,42.961831062499996
True,piano,80,57,42.537389999999995,42.961831062499996
True,piano,80,38,42.985152,43.196906112499995
False,piano,80,73,43.209033,43.6334740625
True,piano,80,45,43.209033,43.4207871125
True,piano,80,50,43.432914,43.6446681125
False,piano,80,73,43.656794999999995,43.8685491125
True,piano,80,50,43.656794999999995,44.0812360625
True,piano,80,54,43.656794999999995,44.0812360625
True,piano,80,57,43.656794999999995,44.0812360625
False,piano,80,66,43.880676,44.0924301125
False,piano,80,66,44.104557,44.316311112499996
True,piano,80,50,44.104557,44.316311112499996
False,piano,80,69,44.328438,44.5401921125
True,piano,80,50,44.328438,44.7528790625
True,piano,80,54,44.328438,44.7528790625
True,piano,80,57,44.328438,44.7528790625
False,piano,80,71,44.552319,44.7640731125
True,piano,80,38,44.776199999999996,44.9879541125
False,piano,80,73,45.000081,45.424522062499996
True,piano,80,45,45.000081,45.2118351125
True,piano,80,50,45.223962,45.435716112499996
False,piano,80,73,45.447843,45.659597112499995
True,piano,80,50,45.447843,45.8722840625
True,piano,80,54,45.447843,45.8722840625
True,piano,80,57,45.447843,45.8722840625
False,piano,80,66,45.671724,45.8834781125
False,piano,80,66,45.895604999999996,46.1073591125
True,piano,80,50,45.895604999999996,46.1073591125
False,piano,80,69,46.119485999999995,46.3312401125
True,piano,80,50,46.119485999999995,46.543927062499996
True,piano,80,54,46.119485999999995,46.543927062499996
True,piano,80,57,46.119485999999995,46.543927062499996
False,piano,80,71,46.343367,46.5551211125
True,piano,80,37,46.567248,46.779002112499995
False,piano,80,73,46.791129,47.0028831125
True,piano,80,44,46.791129,47.0028831125
False,piano,80,73,47.01501,47.2267641125
True,piano,80,49,47.01501,47.2267641125
False,piano,80,73,47.238890999999995,47.4506451125
True,piano,80,49,47.238890999999995,47.6633320625
True,piano,80,52,47.238890999999995,47.6633320625
True,piano,80,56,47.238890999999995,47.6633320625
False,piano,80,66,47.462772,47.6745261125
False,piano,80,66,47.686653,47.898407112499996
True,piano,80,49,47.686653,47.898407112499996
False,piano,80,69,47.910534,48.122288112499994
True,piano,80,49,47.910534,48.3349750625
True,piano,80,52,47.910534,48.3349750625
True,piano,80,56,47.910534,48.3349750625
False,piano,80,71,48.134415,48.3461691125
True,piano,80,42,48.358295999999996,48.5700501125
False,piano,80,73,48.582176999999994,49.006618062499996
True,piano,80,49,48.582176999999994,48.7939311125
True,piano,80,54,48.806058,49.017812112499996
False,piano,80,73,49.029939,49.241693112499995
True,piano,80,54,49.029939,49.4543800625
True,piano,80,57,49.029939,49.4543800625
True,piano,80,61,49.029939,49.4543800625
False,piano,80,73,49.25382,49.4655741125
False,piano,80,73,49.477700999999996,49.6894551125
True,piano,80,54,49.477700999999996,49.6894551125
False,piano,80,74,49.701581999999995,49.9133361125
True,piano,80,54,49.701581999999995,50.126023062499996
True,piano,80,57,49.701581999999995,50.126023062499996
True,piano,80,61,49.701581999999995,50.126023062499996
False,piano,80,73,49.925463,50.1372171125
False,piano,80,71,50.149344,50.7864720125
True,piano,80,35,50.149344,50.361098112499995
True,piano,80,42,50.373225,50.5849791125
True,piano,80,47,50.597106,50.8088601125
False,piano,80,69,50.820986999999995,51.458115012499995
True,piano,80,47,50.820986999999995,51.2454280625
True,piano,80,50,50.820986999999995,51.2454280625
True,piano,80,54,50.820986999999995,51.2454280625
True,piano,80,47,51.268749,51.480503112499996
False,piano,80,74,51.49263,51.704384112499994
True,piano,80,47,51.49263,51.9170710625
True,piano,80,50,51.49263,51.9170710625
True,piano,80,54,51.49263,51.9170710625
False,piano,80,73,51.716511,51.9282651125
False,piano,80,71,51.940391999999996,52.577520012499996
True,piano,80,40,51.940391999999996,52.1521461125
True,piano,80,47,52.164272999999994,52.3760271125
True,piano,80,52,52.388154,52.599908112499996
False,piano,80,69,52.612035,53.2491630125
True,piano,80,52,52.612035,53.0364760625
True,piano,80,56,52.612035,53.0364760625
True,piano,80,59,52.612035,53.0364760625
True,piano,80,52,53.059796999999996,53.2715511125
False,piano,80,74,53.283677999999995,53.4954321125
True,piano,80,52,53.283677999999995,53.708119062499996
True,piano,80,56,53.283677999999995,53.708119062499996
True,piano,80,59,53.283677999999995,53.708119062499996
False,piano,80,73,53.507559,53.7193131125
False,piano,80,64,53.73144,54.1558810625
False,piano,80,71,53.73144,54.1558810625
True,piano,80,45,53.73144,53.943194112499995
True,piano,80,52,53.955321,54.1670751125
False,piano,80,69,54.179202,54.3909561125
False,piano,80,73,54.179202,54.3909561125
True,piano,80,57,54.179202,54.3909561125
False,piano,80,64,54.403082999999995,54.6148371125
False,piano,80,71,54.403082999999995,54.6148371125
True,piano,80,52,54.403082999999995,54.8275240625
True,piano,80,57,54.403082999999995,54.8275240625
True,piano,80,61,54.403082999999995,54.8275240625
False,piano,80,64,54.626964,55.2640920125
False,piano,80,69,54.626964,55.2640920125
True,piano,80,57,54.850845,55.062599112499996
True,piano,80,52,55.074726,55.4991670625
True,piano,80,57,55.074726,55.4991670625
True,piano,80,61,55.074726,55.4991670625
False,piano,80,78,55.298607,55.5103611125
False,piano,80,78,55.522487999999996,55.9469290625
True,piano,80,49,55.522487999999996,55.9469290625
True,piano,80,54,55.522487999999996,55.9469290625
True,piano,80,57,55.522487999999996,55.9469290625
False,piano,80,80,55.97025,56.394691062499994
True,piano,80,49,55.97025,56.394691062499994
True,piano,80,52,55.97025,56.394691062499994
True,piano,80,56,55.97025,56.394691062499994
False,piano,80,81,56.418012,56.8424530625
True,piano,80,52,56.418012,56.8424530625
True,piano,80,57,56.418012,56.8424530625
True,piano,80,61,56.418012,56.8424530625
False,piano,80,78,56.865773999999995,57.290215062499996
True,piano,80,49,56.865773999999995,57.290215062499996
True,piano,80,52,56.865773999999995,57.290215062499996
True,piano,80,57,56.865773999999995,57.290215062499996
False,piano,80,85,57.313536,58.1633509625
True,piano,80,69,57.313536,58.3210005
True,piano,80,66,57.313536,58.544881499999995
True,piano,80,62,57.313536,60.7155943625
False,piano,80,73,58.20906,58.314470637499994
False,piano,80,69,58.3210005,60.7155943625
False,piano,80,68,58.432941,58.5383516375
False,piano,80,66,58.544881499999995,60.7155943625
False,piano,80,78,58.880703,59.0924571125
False,piano,80,78,59.104583999999996,59.5290250625
False,piano,80,80,59.552346,59.976787062499994
False,piano,80,81,60.000108,60.4245490625
False,piano,80,76,60.447869999999995,60.872311062499996
False,piano,80,85,60.895632,61.7454469625
True,piano,80,68,60.895632,62.015037
True,piano,80,61,60.895632,62.126977499999995
True,piano,80,64,60.895632,62.5961947625
